year,edition,total_sports,total_events
1896,1896 Summer Olympics,10,43
1900,1900 Summer Olympics,32,226
1904,1904 Summer Olympics,20,164
1906,1906  Intercalated Games,2,13
1908,1908 Summer Olympics,26,107
1912,1912 Summer Olympics,21,105
1920,1920 Summer Olympics,30,147
1924,1924 Summer Olympics,27,134
1924,1924 Winter Olympics,10,17
1928,1928 Summer Olympics,23,118
1928,1928 Winter Olympics,10,16
1932,1932 Summer Olympics,23,123
1932,1932 Winter Olympics,9,20
1936,1936 Summer Olympics,30,141
1936,1936 Winter Olympics,10,23
1948,1948 Summer Olympics,25,142
1948,1948 Winter Olympics,11,24
1952,1952 Summer Olympics,26,148
1952,1952 Winter Olympics,9,23
1956,1956 Equestrian Olympics,3,4
1956,1956 Summer Olympics,22,141
1956,1956 Winter Olympics,8,24
1960,1960 Summer Olympics,22,141
1960,1960 Winter Olympics,8,27
1964,1964 Summer Olympics,26,155
1964,1964 Winter Olympics,11,35
1968,1968 Summer Olympics,25,172
1968,1968 Winter Olympics,10,34
1972,1972 Summer Olympics,29,188
1972,1972 Winter Olympics,10,33
1976,1976 Summer Olympics,26,183
1976,1976 Winter Olympics,10,35
1980,1980 Summer Olympics,26,189
1980,1980 Winter Olympics,10,36
1984,1984 Summer Olympics,30,211
1984,1984 Winter Olympics,10,41
1988,1988 Summer Olympics,34,233
1988,1988 Winter Olympics,13,60
1992,1992 Summer Olympics,36,249
1992,1992 Winter Olympics,14,59
1994,1994 Winter Olympics,12,54
1996,1996 Summer Olympics,36,248
1998,1998 Winter Olympics,14,59
2000,2000 Summer Olympics,39,264
2002,2002 Winter Olympics,15,68
2004,2004 Summer Olympics,39,265
2006,2006 Winter Olympics,15,75
2008,2008 Summer Olympics,42,279
2010,2010 Winter Olympics,15,78
2012,2012 Summer Olympics,39,261
2014,2014 Winter Olympics,15,86
2016,2016 Summer Olympics,41,263
2018,2018 Winter Olympics,15,89
2020,2020 Summer Olympics,49,290
2022,2022 Winter Olympics,15,94
2024,2024 Summer Olympics,45,288
